%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1634830801691785588,-0.212317671064,-0.692872153919,0.0,0.0,-0.0,-0.71141715346,-0.702769972155
1634830801736247553,-0.212316261015,-0.692962666687,0.0,0.0,-0.0,-0.7132777842,-0.70088144687
1634830801736258123,-0.212316217315,-0.692956569816,0.0,0.0,-0.0,-0.714965877498,-0.699159348084
1634830801779942446,-0.212317410942,-0.69290237115,0.0,0.0,-0.0,-0.716733040566,-0.697347652582
1634830801779956342,-0.21231831032,-0.692872263465,0.0,0.0,-0.0,-0.718481833803,-0.695545724231
1634830801823794767,-0.212322107534,-0.69276175626,0.0,0.0,-0.0,-0.72014285833,-0.693825816468
1634830801823807992,-0.212324989001,-0.692691629031,0.0,0.0,-0.0,-0.72197919584,-0.691914764096
1634830801865933305,-0.21232519902,-0.692685794385,0.0,0.0,-0.0,-0.723865685966,-0.689940916804
1634830801865940649,-0.212325461255,-0.692679994125,0.0,0.0,-0.0,-0.725774201321,-0.687932997244
1634830801867159466,-0.212320798467,-0.692762398641,0.0,0.0,-0.0,-0.727636434677,-0.68596298656
1634830801883943273,-0.212311226308,-0.692917038712,0.0,0.0,-0.0,-0.729561721379,-0.683914976221
1634830801904017088,-0.212307282354,-0.69297535135,0.0,0.0,-0.0,-0.7314265579,-0.681920222899
1634830801947966693,-0.212300207325,-0.693073511619,0.0,0.0,-0.0,-0.733109890504,-0.680110203162
1634830801947975970,-0.212293945019,-0.693155745801,0.0,0.0,-0.0,-0.734896828199,-0.678178923222
1634830801997244543,-0.212289867302,-0.693205685262,0.0,0.0,-0.0,-0.736489856578,-0.676448587225
1634830801997254081,-0.212289751097,-0.693207413915,0.0,0.0,-0.0,-0.737944164492,-0.6748617711
1634830802055716856,-0.212290378594,-0.693201318892,0.0,0.0,-0.0,-0.739542610362,-0.673109743993
1634830802055727627,-0.212301002133,-0.693091419159,0.0,0.0,-0.0,-0.741283712599,-0.671191818659
1634830802085357036,-0.212310422005,-0.692997452764,0.0,0.0,-0.0,-0.742939857618,-0.669358176138
1634830802085365522,-0.212316890184,-0.692935687598,0.0,0.0,-0.0,-0.744751196039,-0.66734223304
1634830802086164134,-0.212320983467,-0.692898089663,0.0,0.0,-0.0,-0.746702984142,-0.665157615512
1634830802103984544,-0.21232441152,-0.692868454729,0.0,0.0,-0.0,-0.748608750236,-0.663012020306
1634830802123829705,-0.212315066379,-0.69294248038,0.0,0.0,-0.0,-0.750495521805,-0.660875534235
1634830802167722954,-0.2123011782,-0.693048425305,0.0,0.0,-0.0,-0.752455066794,-0.6586435853
1634830802167732181,-0.212281319206,-0.693193961138,0.0,0.0,-0.0,-0.754290352995,-0.656540983777
1634830802211784752,-0.212268595698,-0.693283521436,0.0,0.0,-0.0,-0.755976092003,-0.654599227252
1634830802211794320,-0.212268378061,-0.693285564504,0.0,0.0,-0.0,-0.75764353927,-0.652668573935
1634830802256312191,-0.212277826053,-0.69322392498,0.0,0.0,-0.0,-0.759202086175,-0.650854970287
1634830802256324865,-0.212276274351,-0.693233747312,0.0,0.0,-0.0,-0.760743588695,-0.649052534283
1634830802299768812,-0.212282390643,-0.693196002839,0.0,0.0,-0.0,-0.762306456189,-0.647216244275
1634830802299781266,-0.212296537937,-0.693110783433,0.0,0.0,-0.0,-0.763916184181,-0.645315475986
1634830802343880925,-0.212316680189,-0.692993914597,0.0,0.0,-0.0,-0.765469775198,-0.643471851178
1634830802343892497,-0.212327586263,-0.692932776953,0.0,0.0,-0.0,-0.767210874831,-0.641394943496
1634830802384040397,-0.212325799942,-0.692942983275,0.0,0.0,-0.0,-0.76906122943,-0.639175113242
1634830802384051779,-0.212310529218,-0.693024257864,0.0,0.0,-0.0,-0.770918083544,-0.636934304669
1634830802384966670,-0.212277788384,-0.693192297453,0.0,0.0,-0.0,-0.772857224159,-0.634579948521
1634830802404861285,-0.212255046784,-0.69330492733,0.0,0.0,-0.0,-0.774751196818,-0.632266227969
1634830802424150275,-0.212236655145,-0.693393628573,0.0,0.0,-0.0,-0.776474928651,-0.63014814542
1634830802467800312,-0.21222455775,-0.693450841612,0.0,0.0,-0.0,-0.778217802451,-0.627994468088
1634830802467811984,-0.212229404933,-0.693429474723,0.0,0.0,-0.0,-0.779929507285,-0.62586736907
1634830802511868101,-0.21223606981,-0.693400198794,0.0,0.0,-0.0,-0.781573214193,-0.623813522502
1634830802511879222,-0.212246530758,-0.693355305416,0.0,0.0,-0.0,-0.783211463101,-0.621755421422
1634830802559493885,-0.21226628289,-0.693271340019,0.0,0.0,-0.0,-0.78485651954,-0.619677532057
1634830802559506629,-0.212292082503,-0.693163984543,0.0,0.0,-0.0,-0.786459062135,-0.617642407535
1634830802603900705,-0.212295279261,-0.693150566133,0.0,0.0,-0.0,-0.788203826586,-0.615414273279
1634830802603919511,-0.212298592041,-0.693137110008,0.0,0.0,-0.0,-0.789893393161,-0.613244182557
1634830802643860719,-0.212275861134,-0.693224667125,0.0,0.0,-0.0,-0.791467680854,-0.611211019341
1634830802643877601,-0.212246596647,-0.693335482307,0.0,0.0,-0.0,-0.793073229038,-0.609126303309
1634830802645032236,-0.212212625201,-0.693461542009,0.0,0.0,-0.0,-0.794576538281,-0.607164001579
1634830802664225805,-0.212165258631,-0.693633822916,0.0,0.0,-0.0,-0.796002761411,-0.605292990068
1634830802683622668,-0.212134373468,-0.693743930927,0.0,0.0,-0.0,-0.797400333882,-0.603450667019
1634830802727788312,-0.212138280453,-0.693730134651,0.0,0.0,-0.0,-0.798697329288,-0.601732977481
1634830802727801146,-0.212160189769,-0.693654559305,0.0,0.0,-0.0,-0.799942598092,-0.600076528251
1634830802771750210,-0.212173417775,-0.693610067182,0.0,0.0,-0.0,-0.80127992824,-0.598289626018
1634830802771762734,-0.212188985644,-0.693558005034,0.0,0.0,-0.0,-0.802696452984,-0.596387796963
1634830802815865280,-0.212214029079,-0.693475329023,0.0,0.0,-0.0,-0.804179451677,-0.594386582538
1634830802815873967,-0.212260865568,-0.693323977727,0.0,0.0,-0.0,-0.805857907742,-0.592108970148
1634830802859909714,-0.212291600419,-0.693226575919,0.0,0.0,-0.0,-0.807565341655,-0.589778109934
1634830802859921496,-0.212310600005,-0.693167720545,0.0,0.0,-0.0,-0.80934809685,-0.5873292587
1634830802904563151,-0.212282105357,-0.693254014255,0.0,0.0,-0.0,-0.811158836463,-0.584825907453
1634830802904575334,-0.212242905147,-0.693370653869,0.0,0.0,-0.0,-0.812985136287,-0.582284439236
1634830802905619360,-0.212226575695,-0.69341843094,0.0,0.0,-0.0,-0.814629916859,-0.57998111914
1634830802927306258,-0.212199437936,-0.693496412319,0.0,0.0,-0.0,-0.816222208997,-0.577738094244
1634830802944864351,-0.212198856394,-0.69349835038,0.0,0.0,-0.0,-0.81767043838,-0.575686593729
1634830802993544489,-0.212201061986,-0.693492666805,0.0,0.0,-0.0,-0.819056322246,-0.573713117323
1634830802993555630,-0.212189422178,-0.693524615058,0.0,0.0,-0.0,-0.820380579202,-0.571817895197
1634830803035863338,-0.212183258789,-0.693541317408,0.0,0.0,-0.0,-0.821609527006,-0.570050686459
1634830803035874109,-0.212224892196,-0.693430136555,0.0,0.0,-0.0,-0.822890908864,-0.568199394674
1634830803079869430,-0.212272877046,-0.693304210061,0.0,0.0,-0.0,-0.824190648118,-0.566312436341
